Designator,Mid X,Mid Y,Rotation,Layer
C1,165.105,-94.65,180.0,top
C10,121.25,-104.8,90.0,top
C11,121.25,-106.7,90.0,top
C12,122.25,-104.8,90.0,top
C13,122.25,-106.7,90.0,top
C14,127.13,-104.8,90.0,top
C15,159.765,-101.69,270.0,top
C16,135.55,-95.15,180.0,top
C17,163.585,-100.15,90.0,top
C18,163.4615,-95.75,0.0,top
C19,157.765,-101.69,270.0,top
C2,161.765,-101.69,270.0,top
C20,165.085,-95.75,180.0,top
C21,127.13,-106.7,90.0,top
C22,158.3,-95.3,270.0,top
C23,150.7,-82.8,180.0,top
C24,149.1,-79.7,90.0,top
C25,138.5,-80.5,90.0,top
C26,131.85,-103.65,180.0,top
C27,128.13,-104.8,90.0,top
C28,128.13,-106.7,90.0,top
C3,143.2,-96.25,180.0,top
C30,148.0,-69.8625,180.0,top
C31,155.0,-71.2,270.0,top
C32,146.2284,-70.0584,90.0,top
C33,148.725,-91.2,180.0,top
C34,140.0,-103.55,180.0,top
C35,135.8,-104.767501,90.0,top
C36,135.8,-106.6675,90.0,top
C37,136.8,-104.767501,90.0,top
C38,136.8,-106.6675,90.0,top
C39,146.3,-103.85,180.0,top
C4,119.125,-103.75,180.0,top
C40,144.6,-103.55,0.0,top
C41,141.700001,-106.6725,90.0,top
C42,142.7,-104.845,90.0,top
C43,142.7,-106.6725,90.0,top
C44,149.95,-103.575,0.0,top
C45,147.58,-106.672499,90.0,top
C46,151.65,-103.7,180.0,top
C47,148.58,-104.7725,90.0,top
C48,148.58,-106.672499,90.0,top
C5,115.35,-104.795,90.0,top
C6,115.35,-106.695,90.0,top
C7,116.35,-104.795,90.0,top
C8,116.35,-106.695,90.0,top
C9,125.5,-103.7,180.0,top
D1,112.0125,-103.1,180.0,top
D10,151.41,-101.6,90.0,top
D2,112.0125,-105.25,180.0,top
D3,112.0125,-107.4,180.0,top
D4,155.42,-81.9685,0.0,top
D5,120.6,-102.7,0.0,top
D6,124.0,-102.7,180.0,top
D7,129.32,-103.08,180.0,top
D8,138.35,-102.7,180.0,top
D9,147.62,-102.76,0.0,top
J1,170.575315,-77.542881,90.0,top
J11,121.5365,-96.3,270.0,top
J13,171.475,-95.55,270.0,top
J15,171.475,-103.932,270.0,top
J16,134.65,-113.7,180.0,top
J18,160.4,-113.7,180.0,top
J2,164.5,-87.0,90.0,top
J3,170.7,-87.0,270.0,top
J4,142.24489,-63.992132,90.0,top
J7,142.25,-64.02,270.0,bottom
L1,157.6,-89.9,90.0,top
Q1,118.5005,-106.09,0.0,top
Q10,143.76,-109.343,270.0,top
Q11,150.7255,-106.015,0.0,top
Q12,149.64,-109.343,270.0,top
Q2,117.41,-109.3655,270.0,top
Q3,124.4005,-106.09,0.0,top
Q4,123.31,-109.3705,270.0,top
Q5,130.2755,-106.095,0.0,top
Q6,129.19,-109.3705,270.0,top
Q7,138.95,-106.1,0.0,top
Q8,137.86,-109.338,270.0,top
Q9,144.8505,-106.095,0.0,top
R1,115.1,-102.5,0.0,top
R10,126.93,-109.82,90.0,top
R11,131.68,-109.12,90.0,top
R12,121.05,-109.82,90.0,top
R13,125.76,-109.12,90.0,top
R14,114.25,-108.435,90.0,top
R15,119.764773,-109.069826,90.0,top
R16,162.068113,-92.293659,270.0,top
R17,162.0615,-94.25,90.0,top
R18,158.2,-97.8,90.0,top
R19,165.285,-96.95,0.0,top
R2,112.75,-108.9,0.0,top
R20,147.38,-109.7925,90.0,top
R21,152.13,-109.092499,90.0,top
R22,141.500001,-109.7925,90.0,top
R23,146.25,-109.0925,90.0,top
R24,165.285,-97.95,180.0,top
R25,164.885,-99.45,270.0,top
R26,134.85,-108.4075,90.0,top
R27,140.214774,-109.042326,90.0,top
R3,110.8,-108.95,0.0,top
R30,167.7,-98.24,0.0,top
R31,167.71,-99.26,0.0,top
R32,133.3,-109.6,0.0,top
R33,133.3,-110.6,0.0,top
R38,149.9,-72.4625,90.0,top
R39,150.9,-72.4625,90.0,top
R4,167.0,-78.425,0.0,top
R46,147.2,-73.2625,180.0,top
R49,153.19,-72.9625,0.0,top
R5,167.2,-75.1,90.0,top
R50,150.871957,-69.597454,90.0,top
R6,161.877,-78.279,0.0,top
R7,161.866,-77.093,0.0,top
R8,165.9,-91.875,180.0,top
R9,167.875,-91.875,0.0,top
U1,125.76,-79.656,90.0,top
U10,148.141957,-71.343454,180.0,top
U11,152.881,-70.83775,0.0,top
U2,164.547,-77.5,180.0,top
U3,143.85,-98.655,180.0,top
U4,149.475,-93.655,180.0,top
U6,160.6615,-97.55,90.0,top
U8,143.8,-82.8,0.0,top
